msoa,meanUVAJAN01APR17
E02000918,419.7929143
E02000919,419.7929143
E02000920,421.68384
E02000921,419.7929143
E02000922,419.7929143
E02000923,417.4280229
E02000924,418.1348571
E02000925,418.1348571
E02000926,419.1074743
E02000927,420.0702171
E02000928,420.1776
E02000929,422.1080229
E02000930,420.0702171
E02000931,420.0702171
E02000932,424.1458286
E02000933,420.1776
E02000934,422.1080229
E02000935,416.2093714
E02000936,420.1776
E02000937,422.1080229
E02000938,420.1776
E02000939,420.0702171
E02000940,424.1458286
E02000941,422.1080229
E02000942,424.1458286
E02000943,420.0702171
E02000944,424.1458286
E02000945,420.1776
E02000946,422.1080229
E02000947,424.1458286
E02000948,420.0702171
E02000949,422.1080229
E02000950,424.1458286
E02000951,420.0702171
E02000952,420.0702171
E02000953,422.1080229
E02000954,420.0702171
E02000955,422.1080229
E02000956,419.1264
E02000957,415.44576
E02000958,415.44576
E02000959,415.44576
E02000960,413.7889371
E02000961,415.9460571
E02000962,414.5307429
E02000963,415.9460571
E02000964,415.9802057
E02000965,415.9802057
E02000966,415.9802057
E02000967,413.9156571
E02000968,414.9479314
E02000969,416.0143543
E02000970,413.9156571
E02000971,413.9156571
E02000972,416.1994971
E02000973,416.0143543
E02000974,416.1069257
E02000975,416.1069257
E02000976,416.0143543
E02000977,418.2578743
E02000978,416.1994971
E02000979,418.2578743
E02000980,418.2578743
E02000981,416.1994971
E02000982,416.1994971
E02000983,416.1994971
E02000984,384.5641371
E02000985,379.5646629
E02000986,376.8932571
E02000987,389.4912
E02000988,376.8932571
E02000989,370.3367314
E02000990,396.1637486
E02000991,383.4497829
E02000992,388.5383314
E02000993,376.8932571
E02000994,383.4497829
E02000995,399.76704
E02000996,370.3367314
E02000997,392.3635886
E02000998,383.1202286
E02000999,381.1848686
E02001000,379.2495086
E02001001,388.6691657
E02001002,381.5029029
E02001003,389.3426743
E02001004,383.1202286
E02001005,381.1848686
E02001006,382.7906743
E02001007,388.1141486
E02001008,382.7906743
E02001009,382.7906743
E02001010,388.1622857
E02001011,391.3632
E02001012,385.47648
E02001013,387.0769371
E02001014,388.8329143
E02001015,388.1622857
E02001016,385.47648
E02001017,388.1141486
E02001018,392.8917943
E02001019,376.416
E02001020,378.4159543
E02001021,378.7988571
E02001022,381.99168
E02001023,380.4159086
E02001024,380.4159086
E02001025,385.0650514
E02001026,381.3852343
